%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
0.0, -957404.90625, 2249999.625, -1463903.15625, 2249999.625, 2249999.625, -967157.4375, 2249999.625, -1276189.78125, 2249999.625, 2249999.625, 2249999.625, 2249999.625, 2249999.625, 2249999.625, 2249999.625, 2249999.625, -0.014000000432133675, 0.9200000166893005, 0.4280000329017639, 192.0, 127.5, 72.0, 14.0, 96.0, 6.5, 48.0, 0.0, 0.0, 0.0, 1.629269338231782E9, 2021-08-18 00:48:58.231
2.0, -1914145.6875, 4500000.0, -2926110.0, 4500000.0, 4500000.0, -1932579.0, 4500000.0, -2551945.125, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, -0.014000000432133675, 0.9200000166893005, 0.4280000329017639, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6292693382319596E9, 2021-08-18 00:48:58.231
4.0, -1912820.8125, 4500000.0, -2926499.4375, 4500000.0, 4500000.0, -1931078.0625, 4500000.0, -2551043.8125, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, -0.014000000432133675, 0.9200000166893005, 0.4280000329017639, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6292693382319667E9, 2021-08-18 00:48:58.231
6.0, -1914934.875, 4500000.0, -2926752.75, 4500000.0, 4500000.0, -1933551.0, 4500000.0, -2552696.0625, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, -0.01000000024214387, 0.9220000207424164, 0.41200003027915955, 192.0, 127.5, 104.0, 14.0, 112.0, 6.0, 48.0, 0.0, 0.0, 0.0, 1.629269338231974E9, 2021-08-18 00:48:58.231
8.0, -1911991.875, 4500000.0, -2925824.0625, 4500000.0, 4500000.0, -1930073.8125, 4500000.0, -2550420.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, -0.01000000024214387, 0.9220000207424164, 0.41200003027915955, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6292693382319808E9, 2021-08-18 00:48:58.231
10.0, -1915019.0625, 4500000.0, -2926998.9375, 4500000.0, 4500000.0, -1934106.1875, 4500000.0, -2552942.8125, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, -0.01000000024214387, 0.9220000207424164, 0.41200003027915955, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.629269338231988E9, 2021-08-18 00:48:58.231
12.0, -1911945.1875, 4500000.0, -2925657.1875, 4500000.0, 4500000.0, -1929695.0625, 4500000.0, -2549822.4375, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, -0.01000000024214387, 0.9220000207424164, 0.41200003027915955, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6292693382320075E9, 2021-08-18 00:48:58.232
14.0, -1915520.625, 4500000.0, -2927328.375, 4500000.0, 4500000.0, -1934614.3125, 4500000.0, -2552838.75, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, -0.01000000024214387, 0.9220000207424164, 0.41200003027915955, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6292693382320144E9, 2021-08-18 00:48:58.232
16.0, -1911648.0, 4500000.0, -2925147.75, 4500000.0, 4500000.0, -1929020.8125, 4500000.0, -2550066.9375, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, -0.01000000024214387, 0.9220000207424164, 0.41200003027915955, 192.0, 0.0, 0.0, 14.5, 40.0, 5.5, 96.0, 0.0, 0.0, 0.0, 1.629269338232021E9, 2021-08-18 00:48:58.232
18.0, -1916160.5625, 4500000.0, -2927532.75, 4500000.0, 4500000.0, -1934846.4375, 4500000.0, -2553158.4375, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, -0.01000000024214387, 0.9220000207424164, 0.41200003027915955, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6292693382320275E9, 2021-08-18 00:48:58.232
