%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
0.0, -2995841.625, -2936266.5, -4257061.5, -4500000.375, -4500000.375, -4204294.5, -3169520.625, -3727778.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0560000017285347, 0.48500001430511475, 0.12200000882148743, 192.0, 1.5, 64.0, 15.0, 40.0, 3.5, 80.0, 0.0, 0.0, 0.0, 1.6298570579162488E9, 2021-08-24 20:04:17.916
62.0, -3014289.1875, -2972752.125, -4254066.0, -4500000.375, -4500000.375, -4201378.875, -3195412.5, -3728024.25, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.0560000017285347, 0.48500001430511475, 0.12200000882148743, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6298570579162557E9, 2021-08-24 20:04:17.916
64.0, -2994859.875, -2935313.8125, -4256610.375, -4500000.375, -4500000.375, -4203999.375, -3167016.0, -3727199.625, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.0560000017285347, 0.48500001430511475, 0.12200000882148743, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6298570579162624E9, 2021-08-24 20:04:17.916
66.0, -3014621.8125, -2972798.625, -4253557.5, -4500000.375, -4500000.375, -4200924.375, -3196857.0, -3728031.75, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.0560000017285347, 0.48500001430511475, 0.12200000882148743, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.62985705791627E9, 2021-08-24 20:04:17.916
68.0, -2994489.1875, -2935743.0, -4256854.875, -4500000.375, -4500000.375, -4204215.0, -3165665.625, -3726614.25, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.0560000017285347, 0.48500001430511475, 0.12200000882148743, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6298570579162767E9, 2021-08-24 20:04:17.916
70.0, -3014684.625, -2972008.5, -4253753.625, -4500000.375, -4500000.375, -4201117.125, -3197807.625, -3728333.25, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.0860000029206276, 0.7315000295639038, 0.1860000044107437, 192.0, 1.5, 80.0, 15.0, 72.0, 3.5, 104.0, 0.0, 0.0, 0.0, 1.6298570579162834E9, 2021-08-24 20:04:17.916
72.0, -2995647.9375, -2937570.5625, -4257051.375, -4500000.375, -4500000.375, -4204411.875, -3165506.25, -3726716.25, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.0860000029206276, 0.7315000295639038, 0.1860000044107437, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.62985705791629E9, 2021-08-24 20:04:17.916
74.0, -3014325.75, -2970053.8125, -4253702.625, -4500000.375, -4500000.375, -4201133.625, -3197801.625, -3728731.5, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.0860000029206276, 0.7315000295639038, 0.1860000044107437, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6298570579162965E9, 2021-08-24 20:04:17.916
76.0, -2996931.0, -2940602.625, -4257279.375, -4500000.375, -4500000.375, -4204738.875, -3166609.125, -3726916.875, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.0860000029206276, 0.7315000295639038, 0.1860000044107437, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6298570579163032E9, 2021-08-24 20:04:17.916
78.0, -3013100.4375, -2967329.625, -4254501.375, -4500000.375, -4500000.375, -4202025.0, -3197186.625, -3729243.0, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.0860000029206276, 0.7315000295639038, 0.1860000044107437, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6298570579163098E9, 2021-08-24 20:04:17.916
