%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
210.0, -1883230.6875, -2124651.9375, -3023547.1875, -4500000.375, -4500000.375, -3401796.0, -1859991.375, -2261436.0, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.032999999821186066, 0.47200003266334534, 0.18000000715255737, 192.0, 1.0, 8.0, 14.5, 64.0, 5.5, 32.0, 0.0, 0.0, 0.0, 1.6299356907027636E9, 2021-08-25 17:54:50.702
212.0, -1886730.9375, -2130232.5, -3022472.625, -4500000.375, -4500000.375, -3400294.5, -1876412.4375, -2260836.375, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.032999999821186066, 0.47200003266334534, 0.18000000715255737, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6299356907027705E9, 2021-08-25 17:54:50.702
214.0, -1882820.8125, -2123799.5625, -3024430.125, -4500000.375, -4500000.375, -3402437.625, -1857390.1875, -2261545.5, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.032999999821186066, 0.47200003266334534, 0.18000000715255737, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6299356907027771E9, 2021-08-25 17:54:50.702
216.0, -1888179.75, -2131429.875, -3022868.0625, -4500000.375, -4500000.375, -3400339.125, -1879271.0625, -2261505.1875, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.032999999821186066, 0.47200003266334534, 0.18000000715255737, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6299356907027838E9, 2021-08-25 17:54:50.702
218.0, -1883261.25, -2123045.8125, -3025255.125, -4500000.375, -4500000.375, -3403099.5, -1855219.6875, -2262021.375, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.032999999821186066, 0.47200003266334534, 0.18000000715255737, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6299356907027905E9, 2021-08-25 17:54:50.702
220.0, -1888655.0625, -2131684.6875, -3022429.3125, -4500000.375, -4500000.375, -3399465.375, -1880877.75, -2260828.875, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.04650000110268593, 0.7070000320672989, 0.2670000046491623, 192.0, 0.5, 112.0, 14.5, 56.0, 5.5, 8.0, 0.0, 0.0, 0.0, 1.6299356907027972E9, 2021-08-25 17:54:50.702
222.0, -1882867.5, -2122227.1875, -3025163.4375, -4500000.375, -4500000.375, -3402808.875, -1853601.9375, -2261811.5625, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.04650000110268593, 0.7070000320672989, 0.2670000046491623, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6299356907028039E9, 2021-08-25 17:54:50.702
224.0, -1889152.875, -2132220.0, -3022904.0625, -4500000.375, -4500000.375, -3399470.625, -1881898.6875, -2261270.8125, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.04650000110268593, 0.7070000320672989, 0.2670000046491623, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6299356907028103E9, 2021-08-25 17:54:50.702
226.0, -1882717.6875, -2122231.5, -3025968.1875, -4500000.375, -4500000.375, -3403094.25, -1853106.75, -2261886.1875, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.04650000110268593, 0.7070000320672989, 0.2670000046491623, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6299356907028172E9, 2021-08-25 17:54:50.702
228.0, -1889122.3125, -2132532.375, -3023401.3125, -4500000.375, -4500000.375, -3399543.0, -1882144.875, -2261265.375, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.04650000110268593, 0.7070000320672989, 0.2670000046491623, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6299356907028239E9, 2021-08-25 17:54:50.702
230.0, -1882872.75, -2122587.1875, -3026338.875, -4500000.375, -4500000.375, -3403237.125, -1853993.4375, -2261954.8125, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.05225000157952309, 0.8265000358223915, 0.31050000339746475, 192.0, 0.5, 104.0, 14.5, 72.0, 5.5, 8.0, 0.0, 0.0, 0.0, 1.6299356907028303E9, 2021-08-25 17:54:50.702
232.0, -1889288.625, -2132377.3125, -3023661.9375, -4500000.375, -4500000.375, -3399645.0, -1881323.0625, -2261445.75, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.05225000157952309, 0.8265000358223915, 0.31050000339746475, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.629935690702837E9, 2021-08-25 17:54:50.702
234.0, -1883066.4375, -2122670.4375, -3026123.625, -4500000.375, -4500000.375, -3402836.25, -1854954.75, -2261851.3125, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.05225000157952309, 0.8265000358223915, 0.31050000339746475, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6299356907028437E9, 2021-08-25 17:54:50.702
236.0, -1889481.75, -2131996.3125, -3024628.125, -4500000.375, -4500000.375, -3400207.5, -1879793.625, -2261675.25, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.05225000157952309, 0.8265000358223915, 0.31050000339746475, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6299356907028503E9, 2021-08-25 17:54:50.702
238.0, -1884065.25, -2123867.625, -3027064.6875, -4500000.375, -4500000.375, -3403237.875, -1857348.375, -2261944.125, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.05225000157952309, 0.8265000358223915, 0.31050000339746475, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.629935690702876E9, 2021-08-25 17:54:50.702
240.0, -1889307.375, -2131579.125, -3025329.1875, -4500000.375, -4500000.375, -3400498.5, -1877599.125, -2262041.625, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.05612500198185444, 0.8872500546276569, 0.3342500068247318, 192.0, 0.5, 112.0, 14.5, 80.0, 5.5, 24.0, 0.0, 0.0, 0.0, 1.6299356907028847E9, 2021-08-25 17:54:50.702
242.0, -1884928.5, -2124996.9375, -3027015.75, -4500000.375, -4500000.375, -3402867.0, -1860474.75, -2262077.625, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.05612500198185444, 0.8872500546276569, 0.3342500068247318, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6299356907029052E9, 2021-08-25 17:54:50.702
244.0, -1888406.25, -2130520.125, -3025761.0, -4500000.375, -4500000.375, -3400783.875, -1874531.625, -2261907.5625, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.05612500198185444, 0.8872500546276569, 0.3342500068247318, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6299356907029169E9, 2021-08-25 17:54:50.702
246.0, -1885002.0, -2126425.5, -3026903.625, -4500000.375, -4500000.375, -3402347.625, -1863649.875, -2261606.0625, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.05612500198185444, 0.8872500546276569, 0.3342500068247318, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.629935690702924E9, 2021-08-25 17:54:50.702
248.0, -1887054.9375, -2129332.875, -3026083.5, -4500000.375, -4500000.375, -3400775.625, -1870698.1875, -2261617.875, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.05612500198185444, 0.8872500546276569, 0.3342500068247318, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.629935690702944E9, 2021-08-25 17:54:50.702
250.0, -1885942.875, -2126803.125, -3025781.4375, -4500000.375, -4500000.375, -3400687.875, -1866259.125, -2260710.75, -4500000.375, -4500000.375, -4500000.375, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.06400000303983688, 0.9440000653266907, 0.3660000264644623, 192.0, 1.0, 0.0, 14.5, 64.0, 5.5, 56.0, 0.0, 0.0, 0.0, 1.6299356907029512E9, 2021-08-25 17:54:50.702
0.0, -1220531.8125, -1430288.625, -1697400.75, -2250000.1875, -2250000.1875, -1987476.1875, -1420417.5, -1346071.03125, -2250000.1875, -2250000.1875, -2250000.1875, 2249999.625, 2249999.625, -2250000.1875, -2250000.1875, -2250000.1875, 0.03200000151991844, 0.9640000462532043, 0.35600000619888306, 192.0, 0.5, 0.0, 15.0, 16.0, 5.5, 16.0, 0.0, 0.0, 0.0, 1.6299356908055954E9, 2021-08-25 17:54:50.805
2.0, -2433861.9375, -2850145.125, -3396185.625, -4500000.375, -4500000.375, -3976499.625, -2820677.25, -2690991.375, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.03200000151991844, 0.9640000462532043, 0.35600000619888306, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6299356912846906E9, 2021-08-25 17:54:51.284
4.0, -2439373.3125, -2859592.875, -3395108.25, -4500000.375, -4500000.375, -3975124.125, -2838878.0625, -2692029.375, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.03200000151991844, 0.9640000462532043, 0.35600000619888306, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6299356912846987E9, 2021-08-25 17:54:51.284
6.0, -2434398.375, -2850859.5, -3396269.625, -4500000.375, -4500000.375, -3976435.125, -2821808.625, -2690808.375, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.026000001467764378, 0.9670000374317169, 0.35200001299381256, 192.0, 0.0, 80.0, 15.0, 40.0, 5.0, 112.0, 0.0, 0.0, 0.0, 1.6299356912847445E9, 2021-08-25 17:54:51.284
8.0, -2439191.4375, -2859327.375, -3395541.75, -4500000.375, -4500000.375, -3975327.0, -2838170.625, -2692213.3125, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.026000001467764378, 0.9670000374317169, 0.35200001299381256, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6299356912847543E9, 2021-08-25 17:54:51.284
10.0, -2435226.5625, -2851881.0, -3396394.125, -4500000.375, -4500000.375, -3976514.25, -2823559.5, -2691057.9375, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.026000001467764378, 0.9670000374317169, 0.35200001299381256, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6299356912847636E9, 2021-08-25 17:54:51.284
12.0, -2438535.375, -2858648.25, -3395758.5, -4500000.375, -4500000.375, -3975740.625, -2836767.75, -2692332.375, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.026000001467764378, 0.9670000374317169, 0.35200001299381256, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.629935691284774E9, 2021-08-25 17:54:51.284
14.0, -2435998.5, -2853134.0625, -3396444.375, -4500000.375, -4500000.375, -3976718.625, -2825976.1875, -2691378.5625, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.026000001467764378, 0.9670000374317169, 0.35200001299381256, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6299356912847855E9, 2021-08-25 17:54:51.284
16.0, -2437978.5, -2858283.9375, -3396310.5, -4500000.375, -4500000.375, -3976542.75, -2835392.4375, -2692535.25, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.017000000923871994, 0.9635000377893448, 0.3490000143647194, 192.0, 0.0, 32.0, 15.0, 0.0, 5.0, 104.0, 0.0, 0.0, 0.0, 1.6299356912847943E9, 2021-08-25 17:54:51.284
18.0, -2437062.375, -2854915.6875, -3396721.5, -4500000.375, -4500000.375, -3977224.875, -2828889.5625, -2691758.4375, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.017000000923871994, 0.9635000377893448, 0.3490000143647194, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.629935691284804E9, 2021-08-25 17:54:51.284
20.0, -2437357.3125, -2857307.0625, -3396944.625, -4500000.375, -4500000.375, -3977496.375, -2833665.5625, -2692825.875, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.017000000923871994, 0.9635000377893448, 0.3490000143647194, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6299356912848136E9, 2021-08-25 17:54:51.284
22.0, -2438129.25, -2856383.8125, -3396749.25, -4500000.375, -4500000.375, -3977395.875, -2831941.5, -2692030.5, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.017000000923871994, 0.9635000377893448, 0.3490000143647194, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.629935691284839E9, 2021-08-25 17:54:51.284
24.0, -2436437.25, -2856343.125, -3397231.5, -4500000.375, -4500000.375, -3977716.875, -2831518.6875, -2692583.4375, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.017000000923871994, 0.9635000377893448, 0.3490000143647194, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6299356912848487E9, 2021-08-25 17:54:51.284
26.0, -2438945.8125, -2858222.25, -3397185.0, -4500000.375, -4500000.375, -3977575.875, -2834664.9375, -2692494.9375, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.012500000651925802, 0.9537500515580177, 0.3525000102818012, 192.0, 0.0, 32.0, 14.5, 64.0, 5.5, 16.0, 0.0, 0.0, 0.0, 1.6299356912848644E9, 2021-08-25 17:54:51.284
28.0, -2435622.5625, -2855543.8125, -3397767.0, -4500000.375, -4500000.375, -3977998.5, -2829316.6875, -2692474.5, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.012500000651925802, 0.9537500515580177, 0.3525000102818012, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6299356912848737E9, 2021-08-25 17:54:51.284
30.0, -2439483.1875, -2859427.125, -3396982.125, -4500000.375, -4500000.375, -3977265.75, -2836967.4375, -2692316.8125, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.012500000651925802, 0.9537500515580177, 0.3525000102818012, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6299356912848825E9, 2021-08-25 17:54:51.284
32.0, -2435010.375, -2854408.6875, -3397909.125, -4500000.375, -4500000.375, -3978191.625, -2826879.5625, -2692236.9375, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.012500000651925802, 0.9537500515580177, 0.3525000102818012, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6299356912848911E9, 2021-08-25 17:54:51.284
34.0, -2440331.8125, -2860470.5625, -3396778.875, -4500000.375, -4500000.375, -3977047.875, -2838762.375, -2692543.3125, 4500000.0, 4500000.0, 4500000.0, 4500000.0, 4500000.0, -4500000.375, -4500000.375, -4500000.375, 0.012500000651925802, 0.9537500515580177, 0.3525000102818012, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6299356912849004E9, 2021-08-25 17:54:51.284
