%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
0.0, -1213598.8125, -1550165.625, -1726952.8125, -2250000.1875, -2250000.1875, -1645420.5, -1514540.53125, -1726981.6875, -45134.0712890625, -45075.6005859375, -45151.236328125, -45104.0302734375, -45090.6181640625, -45110.466796875, -45110.466796875, 0.0, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 21.0, 107.0, 184.5, 0.0, 0.0, 0.0, 1.6298528420921636E9, 2021-08-24 18:54:02.092
2.0, -2436551.625, -3108414.9375, -3454283.25, -4500000.375, -4500000.375, -3293869.875, -3036078.0, -3453830.25, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 21.0, 107.0, 198.0, 0.0, 0.0, 0.0, 1.6298528420922947E9, 2021-08-24 18:54:02.092
4.0, -2429058.5625, -3101505.5625, -3454061.625, -4500000.375, -4500000.375, -3290757.375, -3027702.375, -3454077.0, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 21.0, 107.0, 206.0, 0.0, 0.0, 0.0, 1.6298528420923018E9, 2021-08-24 18:54:02.092
6.0, -2435826.375, -3108032.4375, -3454445.625, -4500000.375, -4500000.375, -3294002.25, -3036392.25, -3453642.0, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, 0.0, 0.0, 0.0, 196.0, 1.0, 56.0, 0.0, 21.0, 107.0, 213.0, 0.0, 0.0, 0.0, 1.6298528420923092E9, 2021-08-24 18:54:02.092
8.0, -2429481.75, -3101903.0625, -3453854.625, -4500000.375, -4500000.375, -3290499.0, -3027360.75, -3453393.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, 0.0, 0.0, 0.0, 196.0, 20.0, 128.0, 0.0, 21.0, 107.0, 221.0, 0.0, 0.0, 0.0, 1.629852842092317E9, 2021-08-24 18:54:02.092
10.0, -2434639.6875, -3107297.625, -3454225.875, -4500000.375, -4500000.375, -3293528.25, -3035811.9375, -3453048.75, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 21.0, 107.0, 229.0, 0.0, 0.0, 0.0, 1.6298528420923243E9, 2021-08-24 18:54:02.092
12.0, -2430438.375, -3102883.6875, -3454116.75, -4500000.375, -4500000.375, -3290956.5, -3027960.5625, -3453579.75, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 21.0, 107.0, 237.0, 0.0, 0.0, 0.0, 1.6298528420923312E9, 2021-08-24 18:54:02.092
14.0, -2433949.3125, -3106533.1875, -3454280.625, -4500000.375, -4500000.375, -3293522.25, -3035473.875, -3453673.875, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 21.0, 107.0, 245.0, 0.0, 0.0, 0.0, 1.6298528420923378E9, 2021-08-24 18:54:02.092
16.0, -2431700.0625, -3103590.75, -3454002.75, -4500000.375, -4500000.375, -3291081.0, -3028201.875, -3453914.25, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, 0.0, 0.0, 0.0, 196.0, 1.0, 8.0, 0.0, 21.0, 107.0, 253.0, 0.0, 0.0, 0.0, 1.6298528420923445E9, 2021-08-24 18:54:02.092
18.0, -2433344.25, -3105889.3125, -3454621.125, -4500000.375, -4500000.375, -3293371.125, -3035049.0, -3454338.0, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, 0.0, 0.0, 0.0, 196.0, 19.5, 200.0, 0.0, 21.0, 108.0, 5.0, 0.0, 0.0, 0.0, 1.6298528420923517E9, 2021-08-24 18:54:02.092
20.0, -2433009.5625, -3104543.4375, -3454208.25, -4500000.375, -4500000.375, -3291384.0, -3029158.3125, -3453893.25, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 21.0, 108.0, 13.0, 0.0, 0.0, 0.0, 1.6298528420923584E9, 2021-08-24 18:54:02.092
22.0, -2432019.1875, -3104939.4375, -3454640.625, -4500000.375, -4500000.375, -3292925.25, -3034066.3125, -3454090.125, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 21.0, 108.0, 21.0, 0.0, 0.0, 0.0, 1.6298528420923653E9, 2021-08-24 18:54:02.092
24.0, -2433772.3125, -3105388.875, -3454044.375, -4500000.375, -4500000.375, -3291492.75, -3029931.375, -3453169.875, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 21.0, 108.0, 29.0, 0.0, 0.0, 0.0, 1.6298528420923722E9, 2021-08-24 18:54:02.092
26.0, -2430615.375, -3103866.9375, -3454541.25, -4500000.375, -4500000.375, -3292344.375, -3033007.3125, -3453606.75, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, 0.0, 0.0, 0.0, 196.0, 1.0, 16.0, 0.0, 21.0, 108.0, 37.0, 0.0, 0.0, 0.0, 1.629852842092379E9, 2021-08-24 18:54:02.092
28.0, -2434686.9375, -3106492.875, -3454412.625, -4500000.375, -4500000.375, -3292023.375, -3031177.5, -3453438.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, 0.0, 0.0, 0.0, 196.0, 19.5, 168.0, 0.0, 21.0, 108.0, 45.0, 0.0, 0.0, 0.0, 1.629852842092386E9, 2021-08-24 18:54:02.092
30.0, -2429549.4375, -3102653.625, -3454269.375, -4500000.375, -4500000.375, -3291576.0, -3031717.125, -3453463.875, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, -4500000.375, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 21.0, 108.0, 53.0, 0.0, 0.0, 0.0, 1.6298528420923927E9, 2021-08-24 18:54:02.092
